Scene,Index,Char1Name,Char1Look,Char1Pos,Char1Size,Char2Name,Char2Look,Char2Pos,Char2Size,BG,NameTag,Line_ENG,Line_KR,Auto,Choice1ENG,Choice2ENG,Choice3ENG,Choice1KR,Choice2KR,Choice3KR,Next1,Next2,Next3,SFX,Trigger,Param1,Param2,ID,ParsedLine_ENG,ParsedLine_KOR,C1_ENG,C2_ENG,C3_ENG,C1_KOR,C2_KOR,C3_KOR
Scene number,Dialogue index within the scene,Character 1 name,Character 1 outfit / pose,Character 1 position,Character 1 scale / size,Character 2 name,Character 2 outfit / pose,Character 2 position,Character 2 scale / size,Background image name,Display name in dialogue window,Dialogue text (English),Dialogue text (Korean),Auto-skip,"Choice option 1 
(English)","Choice option 2 
(English)","Choice option 3
(English)","Choice option 1 
(Korean)","Choice option 2 
(Korean)","Choice option 3 
(Korean)",Next id after Choice 1,Next id after Choice 2,Next id after Choice 3,Sound effect,Event trigger name,Event parameter 1,Event parameter 2,Auto-generated dialogue ID,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data,Auto-generated parsing data
1,1,,,,,,,,,council,Principal,"…For these reasons, we hereby expel Hermannn Heilner.","…이하의 사유로, 헤르만 하일너의 퇴학을 통고한다.",FALSE,,,,,,,,,,SFX_Gavel,,,,1001,"""…For these reasons, we hereby expel Hermannn Heilner.""","""…이하의 사유로, 헤르만 하일너의 퇴학을 통고한다.""","""""","""""","""""","""""","""""",""""""
1,2,,,,,,,,,council,,"In the end, Heilner was expelled. ",결국 하일너는 퇴학처분을 받았다.,FALSE,,,,,,,,,,,,,,1002,"""In the end, Heilner was expelled. ""","""결국 하일너는 퇴학처분을 받았다.""","""""","""""","""""","""""","""""",""""""
1,3,,,,,,,,,council,,"He never obeyed the teachers, and his freedom was branded as corruption.","그는 끝내 교사들의 말을 따르지 않았고, 그 자유로움은 ‘타락’이라 불렸다.",FALSE,,,,,,,,,,,,,,1003,"""He never obeyed the teachers, and his freedom was branded as corruption.""","""그는 끝내 교사들의 말을 따르지 않았고, 그 자유로움은 ‘타락’이라 불렸다.""","""""","""""","""""","""""","""""",""""""
1,4,,,,,,,,,black,,,,FALSE,,,,,,,,,,,ChangeBGM,D960_1,,1004,"""""","""""","""""","""""","""""","""""","""""",""""""
1,5,Hans,Normal_Normal,Center,Medium,,,,,riverside,,"As soon as Hans heard the news, he went down to the river. ","소식을 전해듣자마자, 한스는 강가로 나왔다.",FALSE,,,,,,,,,,SFX_River,,,,1005,"""As soon as Hans heard the news, he went down to the river. ""","""소식을 전해듣자마자, 한스는 강가로 나왔다.""","""""","""""","""""","""""","""""",""""""
1,6,Hans,Normal_Normal,Center,Medium,,,,,,,"There, as expected, was Heilner. ",역시나 하일너가 와있었다.,FALSE,,,,,,,,,,,,,,1006,"""There, as expected, was Heilner. ""","""역시나 하일너가 와있었다.""","""""","""""","""""","""""","""""",""""""
1,7,Hans,Normal_Normal,Center,Medium,,,,,riverside,,"The water was calm, but Hans’s heart was not.","물결은 조용했지만, 한스의 마음은 복잡했다.",FALSE,,,,,,,,,,,,,,1007,"""The water was calm, but Hans’s heart was not.""","""물결은 조용했지만, 한스의 마음은 복잡했다.""","""""","""""","""""","""""","""""",""""""
1,8,Hans,Normal_Normal,Left,Large,Heilner,Normal_Normal,Right,Medium,riverside,Hans,"Heilner, what will you do now?","하일너, 넌 이제 어떻게 할 거야?",FALSE,,,,,,,,,,,,,,1008,"""Heilner, what will you do now?""","""하일너, 넌 이제 어떻게 할 거야?""","""""","""""","""""","""""","""""",""""""
1,9,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,Hmm… Nothing will change. ,음… 아무것도 달라지지 않아. ,FALSE,,,,,,,,,,,,,,1009,"""Hmm… Nothing will change. ""","""음… 아무것도 달라지지 않아. ""","""""","""""","""""","""""","""""",""""""
1,10,Hans,Normal_Normal,Left,Medium,Heilner,Normal_Normal,Right,Large,riverside,Heilner,"I’ll keep singing of all the beautiful things, and the terrible things of this world.","이 세상의 아름다운 것들과, 지독한 것들과… 그 모든 것들을 계속 노래할 거야.",FALSE,,,,,,,,,,,,,,1010,"""I’ll keep singing of all the beautiful things, and the terrible things of this world.""","""이 세상의 아름다운 것들과, 지독한 것들과… 그 모든 것들을 계속 노래할 거야.""","""""","""""","""""","""""","""""",""""""
